2020-05-07 12:29:40.318849,Environment,Anechoic Chamber w/ Positioner
2020-05-07 12:29:40.318911,Device,iPhone 11 MWKM2LL/A
2020-05-07 12:29:40.318935,Range,6
2020-05-07 12:29:40.318948,Angle,0
2020-05-07 12:29:40.318960,TxPower,12
2020-05-07 12:29:40.318972,GPS,NA
2020-05-07 12:23:32.687569,Bluetooth,50:c9:02:bf:5f:fc,-53,12,1588868612.687569,38
2020-05-07 12:23:32.689951,Bluetooth,50:c9:02:bf:5f:fc,-47,12,1588868612.689951,39
2020-05-07 12:23:32.692463,Bluetooth,50:c9:02:bf:5f:fc,-54,12,1588868612.692463,37
2020-05-07 12:23:32.695924,Bluetooth,50:c9:02:bf:5f:fc,-53,12,1588868612.695924,38
2020-05-07 12:23:32.698289,Bluetooth,50:c9:02:bf:5f:fc,-47,12,1588868612.698289,39
2020-05-07 12:23:32.701093,Bluetooth,50:c9:02:bf:5f:fc,-54,12,1588868612.701093,37
2020-05-07 12:23:32.703887,Bluetooth,50:c9:02:bf:5f:fc,-53,12,1588868612.703887,38
2020-05-07 12:23:32.705817,Bluetooth,50:c9:02:bf:5f:fc,-44,12,1588868612.705817,39
2020-05-07 12:23:32.708285,Bluetooth,cc:34:99:79:b1:14,-53,12,1588868612.708285,37
2020-05-07 12:23:32.710927,Bluetooth,cc:34:99:79:b1:14,-53,12,1588868612.710927,38
2020-05-07 12:23:32.713607,Bluetooth,cc:34:99:79:b1:14,-47,12,1588868612.713607,39
2020-05-07 12:23:32.717379,Bluetooth,50:c9:02:bf:5f:fc,-54,12,1588868612.717379,37
2020-05-07 12:23:32.719677,Bluetooth,50:c9:02:bf:5f:fc,-53,12,1588868612.719677,38
2020-05-07 12:23:32.721642,Bluetooth,50:c9:02:bf:5f:fc,-47,12,1588868612.721642,39
2020-05-07 12:23:32.727564,Bluetooth,50:c9:02:bf:5f:fc,-54,12,1588868612.727564,37
2020-05-07 12:23:32.731151,Bluetooth,50:c9:02:bf:5f:fc,-53,12,1588868612.731151,38
2020-05-07 12:23:32.734494,Bluetooth,50:c9:02:bf:5f:fc,-47,12,1588868612.734494,39
